"row_type","item_path","run_id","execution_status_missing_before","report_missing_before","figures_manifest_missing_before","execution_status_written","execution_status_backfilled_value","report_written","report_target_path","figures_manifest_written","figures_detected_count","has_run_manifest","has_error_log","script_path_from_manifest","classification","used_in_runs","usage_count","strategy_reason","completed_after"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225135_tp_14_structured_export","run_2026_03_10_225135_tp_14_structured_export","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225135_tp_14_structured_export\reports\report.md","YES","36","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225902_tp_18_structured_export","run_2026_03_10_225902_tp_18_structured_export","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225902_tp_18_structured_export\reports\report.md","YES","36","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_231114_tp_22_structured_export","run_2026_03_10_231114_tp_22_structured_export","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_231114_tp_22_structured_export\reports\report.md","YES","36","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_231719_tp_26_structured_export","run_2026_03_10_231719_tp_26_structured_export","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_231719_tp_26_structured_export\reports\report.md","YES","36","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_232934_tp_34_structured_export","run_2026_03_10_232934_tp_34_structured_export","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_232934_tp_34_structured_export\reports\report.md","YES","36","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_235137_tp_sweep_summary","run_2026_03_10_235137_tp_sweep_summary","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_235137_tp_sweep_summary\reports\report.md","YES","3","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_011643_observable_identification_audit","run_2026_03_11_011643_observable_identification_audit","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_011643_observable_identification_audit\reports\report.md","YES","24","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_030129_aging_shape_collapse_analysis","run_2026_03_11_030129_aging_shape_collapse_analysis","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_030129_aging_shape_collapse_analysis\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_030129_aging_shape_collapse_analysis_01","run_2026_03_11_030129_aging_shape_collapse_analysis_01","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_030129_aging_shape_collapse_analysis_01\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_082451_aging_shape_collapse_analysis","run_2026_03_11_082451_aging_shape_collapse_analysis","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_082451_aging_shape_collapse_analysis\reports\report.md","YES","42","YES","NO","","","","","","YES"
