"q50_I","q75_I","q90_I","q95_I","tail_width_q90_q50","extreme_tail_q95_q75","tail_mass_geom_top12p5_axis","tail_mass_quantile_top12p5","pdf_at_q90","T_K","kappa1","S_peak","tail_width_over_Speak","extreme_over_Speak"
"25.188307394445","31.4100626038762","39.0270535296946","42.94423097101","13.8387461352496","11.5341683671338","NaN","0.0237595620853509","0.0135584378261956","4","0.179546725888347","0.349600045040287","39.584509017025","32.9924681954909"
"24.7477982012202","30.7769795123987","38.2765922407566","42.4763204786566","13.5287940395365","11.699340966258","NaN","0.0199542520564939","0.0132580045627765","6","0.190781377067108","0.341950817738385","39.5635668574037","34.2135194869127"
"24.0734762343099","29.8683410160145","37.3416217788237","41.998250862002","13.2681455445138","12.1299098459875","NaN","0.0177690762525882","0.0126672307238582","8","0.19690765457114","0.311011499245369","42.6612700067597","39.0014834673933"
"23.658530219313","29.4446301626493","36.7537929269378","41.7172109778261","13.0952627076248","12.2725808151768","NaN","0.11766718931346","0.0122172645439252","10","0.17710703759542","0.265625424732821","49.2997337163664","46.2025833088877"
"23.772810774511","29.5375560563313","37.1892449725759","41.9693712711869","13.4164341980649","12.4318152148556","NaN","0.122899446958254","0.0122251819856979","12","0.15269503326033","0.232986037937288","57.5847133023317","53.3586275165632"
"23.8775007855407","29.7048165730179","37.6982178502474","42.2373717007194","13.8207170647068","12.5325551277015","NaN","0.0195689065596067","0.0124827499033523","14","0.12447122604336","0.192544819951381","71.7792203820211","65.0890277435977"
"23.6994185645756","29.4603269678369","37.4724249646087","42.137039210843","13.7730064000332","12.6767122430061","NaN","0.019311923365707","0.0122326284960947","16","0.107134927362003","0.162443432649134","84.78647720885","78.0377023328908"
"23.2739738495852","28.865950952138","36.7050620586156","41.8122298203421","13.4310882090304","12.9462788682041","NaN","0.116692833857872","0.0112884867763413","18","0.0980185873442758","0.142095227831458","94.5217402020095","91.1098779725381"
"22.5658694183493","27.8642602757682","34.8915883042489","40.8977466695891","12.3257188858996","13.0334863938209","NaN","0.0983685066603777","0.0100847369050318","20","0.0898318457622685","0.118297407736058","104.192637199629","110.175587472727"
"20.8835844641778","24.9293771463687","29.7684447353258","34.361766967916","8.88486027114799","9.43238982154733","NaN","0.0929279269025552","0.0174793766354293","22","0.0382966167716672","0.0848252860423066","104.74306289656","111.1978545742"
"19.2102925292004","22.7776365485117","26.3340766057994","29.0009413652969","7.12378407659903","6.22330481678523","NaN","0.0312690420250012","0.0216592139722091","24","0.0699734936967039","0.0930645821294685","76.5466723601536","66.8708188914185"
"18.3333333333333","20","30.2","33.6","11.8666666666667","13.6","NaN","0","0","26","0.0640590044738315","0.0732255508855988","162.056365887996","185.727520455905"
