experiment,sample,temperature,observable,value,units,role,source_run
switching,Amp Temp Dep all_P2P_percent,24,asym,1.91457763737692,unitless,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,24,halfwidth_diff_norm,0,unitless,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,24,width_I,10,mA,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,26,I_peak,30,mA,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,26,S_peak,0.0732255508855988,percent,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,26,asym,0.709846919036628,unitless,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,26,halfwidth_diff_norm,-1,unitless,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,26,width_I,5,mA,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,28,I_peak,25,mA,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,28,S_peak,0.0809671274875996,percent,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,28,asym,1.68164124189188,unitless,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,28,halfwidth_diff_norm,-1,unitless,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,28,width_I,5,mA,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,30,I_peak,20,mA,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,30,S_peak,0.0879097809338481,percent,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,32,I_peak,15,mA,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,32,S_peak,0.0695147785421419,percent,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,34,I_peak,30,mA,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,34,S_peak,0.00111194952316543,percent,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,34,asym,3.08312484040489,unitless,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,4,I_peak,35,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,4,S_peak,0.349600045040287,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,4,asym,0.816973380867397,unitless,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,4,halfwidth_diff_norm,0.333333333333333,unitless,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,4,width_I,15,mA,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,6,I_peak,35,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,6,S_peak,0.341950817738385,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,6,asym,0.72495392053985,unitless,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,6,halfwidth_diff_norm,0.333333333333333,unitless,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,6,width_I,15,mA,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,8,I_peak,35,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,8,S_peak,0.311011499245369,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,8,asym,0.583093446526976,unitless,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,8,halfwidth_diff_norm,0.333333333333333,unitless,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,8,width_I,15,mA,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,10,I_peak,35,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,10,S_peak,0.265625424732821,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,10,asym,0.505970145111638,unitless,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,10,halfwidth_diff_norm,0.333333333333333,unitless,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,10,width_I,15,mA,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,12,I_peak,35,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,12,S_peak,0.232986037937288,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,12,asym,0.532572454300606,unitless,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,12,halfwidth_diff_norm,-1,unitless,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,12,width_I,5,mA,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,14,I_peak,35,mA,coordinate,run_2026_03_10_112659_alignment_audit
