Tp,ratio_kind,numerator_tau,denominator_tau,ratio_value
22,legacy_FM_over_DIP_legacy_protocol,1281.50147352383,183.026329123301,7.00173291822131
22,crossed_legacy_signals_canonical_protocol_FM_over_DIP,625726477.464033,282.079156549101,2218265.55750891
22,canonical_FM_over_DIP_canonical_protocol,625726477.464033,1605421944.97785,0.389758268486024
22,crossed_canonical_signals_legacy_protocol_FM_over_DIP,1281.50147352383,2173.18524828122,0.589688097016749
26,legacy_FM_over_DIP_legacy_protocol,863.920752533678,9.39314322655396,91.9735525900868
26,crossed_legacy_signals_canonical_protocol_FM_over_DIP,2674.06849631512,1.42323138978539,1878.87121904917
26,canonical_FM_over_DIP_canonical_protocol,2674.06849631512,7243.34834926389,0.369175741297445
26,crossed_canonical_signals_legacy_protocol_FM_over_DIP,863.920752533678,771.038461886337,1.12046388765108
30,legacy_FM_over_DIP_legacy_protocol,975.626714166143,18756954.7248547,5.20141317435365e-05
30,crossed_legacy_signals_canonical_protocol_FM_over_DIP,5830.05587173932,13.3768277080251,435.832470821294
30,canonical_FM_over_DIP_canonical_protocol,5830.05587173932,445.553023308221,13.0849877943848
30,crossed_canonical_signals_legacy_protocol_FM_over_DIP,975.626714166143,0.0922121852113807,10580.2363530339
