residual_stage,mode_rank,singular_value,energy_fraction,cumulative_energy_fraction,null_mean,null_std,null_p95,p_value,detail
after_backbone,1,0.628247082151345,0.887420696795297,0.887420696795297,0.401120026144102,0.0258800354518205,0.45108526635786,0.00199600798403194,
after_backbone,2,0.194324816506986,0.0849034084654395,0.972324105260737,0.322163345657557,0.0197562390965492,0.354824625275971,1,
after_backbone,3,0.0749030774275015,0.0126144382562871,0.984938543517024,0.26773826220945,0.0203816769100862,0.299130906515953,1,
after_backbone,4,0.0568236134183037,0.00725982725650536,0.992198370773529,0.219736865602435,0.0215647294282415,0.25239101442473,1,
after_backbone,5,0.0505801605928192,0.00575213407912105,0.99795050485265,0.174616130183386,0.0217851480910191,0.208698310103555,1,
after_backbone,6,0.0295213318190932,0.00195947842218129,0.999909983274832,0.134026626461365,0.019063655964703,0.16440345472921,1,
after_backbone,7,0.00632742940064813,9.00167251682593e-05,1,0.0918710772546462,0.0210933695960907,0.125555800280521,1,
after_phi1,1,0.18802232847537,0.733808367880291,0.733808367880291,0.160873081709781,0.0074376745515986,0.176159352368811,0.00199600798403194,
after_phi1,2,0.0747769106764331,0.11606435014036,0.849872718020651,0.104153568518852,0.0105325956668496,0.120405984886506,0.992015968063872,
after_phi1,3,0.0576187436702784,0.0689114480119539,0.918784166032605,0.0735506250913815,0.00737359244674324,0.0872915420709203,0.99001996007984,
after_phi1,4,0.0522290506196533,0.0566223734394027,0.975406539472008,0.055508027794441,0.00620221160936762,0.0649673526902807,0.710578842315369,
after_phi1,5,0.0331845119569712,0.022857813041767,0.998264352513775,0.0399619768277062,0.00684001984929447,0.0508660774454576,0.826347305389222,
after_phi1,6,0.00755195645332916,0.00118381206145617,0.999448164575231,0.0269400792339521,0.00567553331358977,0.0371928639039412,1,
after_phi1,7,0.0051561184407,0.000551835424769076,1,0.0168017870247348,0.00390449112119675,0.0240558225839934,1,
after_phi2,1,0.0745993010565049,0.435628691386822,0.435628691386822,0.0773498843561918,0.00289339965494111,0.0831025230609563,0.816367265469062,Diagnostic Phi3 candidate corresponds to mode_rank=1 of the after_phi2 residual.
after_phi2,2,0.0570368235710087,0.25465817430456,0.690286865691382,0.0517643132346849,0.00397635836879733,0.0581885044040708,0.0958083832335329,
after_phi2,3,0.0523346579247893,0.214400472581678,0.90468733827306,0.0417593504849154,0.00334223261978283,0.0474701335272595,0.00199600798403194,
after_phi2,4,0.0325679093625936,0.0830284097772993,0.987715748050359,0.0332689896508788,0.0033922696754298,0.0386870780480131,0.582834331337325,
after_phi2,5,0.010383282017401,0.00843949107963224,0.996155239129991,0.0256891890427003,0.00307114566047939,0.0308857189762689,1,
after_phi2,6,0.00628411271380239,0.00309125541967155,0.999246494549663,0.0190920786317487,0.00287827550604566,0.0236488311494659,1,
after_phi2,7,0.00310255664731893,0.000753505450336863,1,0.0128328718963662,0.00282734039060887,0.0176852818396695,1,
after_phi3_diag,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Residual RMS after diagnostic Phi3 = 0.0079783
