model,n_rows_used,loocv_rmse,pearson_y_yhat,spearman_y_yhat,mae_resid_22_24K,mae_resid_outside_22_24K,delta_rmse_vs_kappa1
R ~ 1 (baseline),4,51.500750647923,NaN,NaN,24.2819933152525,51.2485130597391,-21.9953949693216
R ~ kappa1,4,73.4961456172445,-0.425112647197127,-0.2,114.085249941068,43.8243239289386,0
R ~ kappa2,4,58.6450687134282,-0.220750256478691,-0.8,46.9551528197718,49.3626692559384,-14.8510769038163
R ~ kappa1 + kappa2,4,43.4868696153911,-0.00452290094078285,0,27.4110992693014,35.5056337437391,-30.0092760018534
