"component_set","best_combo_id","best_delta_high_vs_baseline","low_delta_for_best","high_improvement_with_low_cost"
"I0 only","G241","-0.0240957748970641","0","YES"
"W only","G009","-0.00995927260626063","-0.0844908635823033","YES"
"S0 only","G006","-0.0595609678121732","-0.0668735683982923","YES"
"I0+W","G281","-0.0401442134749577","-0.0213179394577801","YES"
"I0+S0","G246","-0.0665493857329965","-0.0668735683982923","YES"
"W+S0","G014","-0.0771841660992597","-0.115524800439096","YES"
"all three","G254","-0.0930693842897721","-0.115524800439096","YES"
"none","G001","0","0","NO"
