heldout_T_K,n_train,orientation_rule,psi_train_vs_full_corr,m0_LOO,m0_full_data_reference,m0_LOO_vs_full_sign_agreement,heldout_rmse_m0_LOO,heldout_nrmse_m0_LOO,heldout_rmse_A_obs,heldout_rmse_A_proj_nonSVD,heldout_rmse_projection_mean_curve,heldout_rmse_full_data_m0_leaky_reference,winner_heldout,winner_nonleaky_heldout,notes
3,7,Flip_psi_train_sign_so_dot_product_with_psi_full_is_nonneg;_psi_full_is_first_U_column_of_full_matrix_SVD_orientation_diagnostic_only,0.999974993502657,0.000142316513290216,-0.000142328120905496,0,5.35405847802193e-07,0.0671462182016711,5.35561024737793e-07,5.35410090032282e-07,5.35410486817902e-07,1.59215213749539e-05,m0_LOO_SVD_projection,m0_LOO_SVD_projection,m0_LOO_best
19,7,Flip_psi_train_sign_so_dot_product_with_psi_full_is_nonneg;_psi_full_is_first_U_column_of_full_matrix_SVD_orientation_diagnostic_only,0.999844944682395,0.00030593225864612,-0.000305991221266062,0,7.49587959494911e-07,0.0437880456122381,7.58800964023298e-07,7.49608477133983e-07,7.49601372528009e-07,3.42173817037807e-05,m0_LOO_SVD_projection,m0_LOO_SVD_projection,m0_LOO_best
23,7,Flip_psi_train_sign_so_dot_product_with_psi_full_is_nonneg;_psi_full_is_first_U_column_of_full_matrix_SVD_orientation_diagnostic_only,0.999692081243327,0.000411910053977384,-0.000411949977089507,0,6.36539205372267e-07,0.0276332444066149,6.36494294103942e-07,6.36546467342785e-07,6.36545959932891e-07,4.6061066189635e-05,A_obs,A_obs,
25,7,Flip_psi_train_sign_so_dot_product_with_psi_full_is_nonneg;_psi_full_is_first_U_column_of_full_matrix_SVD_orientation_diagnostic_only,0.999656779859069,0.00043829800302354,-0.000438349242668188,0,6.45779531057032e-07,0.0263474736516498,6.48203784559298e-07,6.45786847762721e-07,6.4578392550734e-07,4.90119369674179e-05,m0_LOO_SVD_projection,m0_LOO_SVD_projection,m0_LOO_best
27,7,Flip_psi_train_sign_so_dot_product_with_psi_full_is_nonneg;_psi_full_is_first_U_column_of_full_matrix_SVD_orientation_diagnostic_only,0.999624346418091,0.00046642214518228,-0.000466473471344076,0,6.4703401394982e-07,0.0248078575127517,6.7603416498642e-07,6.47047006052586e-07,6.47044131162674e-07,5.21561586017022e-05,m0_LOO_SVD_projection,m0_LOO_SVD_projection,m0_LOO_best
31,7,Flip_psi_train_sign_so_dot_product_with_psi_full_is_nonneg;_psi_full_is_first_U_column_of_full_matrix_SVD_orientation_diagnostic_only,0.99966898263556,0.000458020351966578,-0.000458066543840035,0,7.1064071809563e-07,0.0277442563677533,7.29289803230642e-07,7.10645319451433e-07,7.10650801986698e-07,5.12177617583835e-05,m0_LOO_SVD_projection,m0_LOO_SVD_projection,m0_LOO_best
33,7,Flip_psi_train_sign_so_dot_product_with_psi_full_is_nonneg;_psi_full_is_first_U_column_of_full_matrix_SVD_orientation_diagnostic_only,0.999996131270181,6.27751043208466e-05,-6.27757553194601e-05,0,4.84927740545097e-07,0.136885406700565,4.91616739530038e-07,4.84929337863981e-07,4.84931386153162e-07,7.03538385479089e-06,m0_LOO_SVD_projection,m0_LOO_SVD_projection,m0_LOO_best
37,7,Flip_psi_train_sign_so_dot_product_with_psi_full_is_nonneg;_psi_full_is_first_U_column_of_full_matrix_SVD_orientation_diagnostic_only,0.999999928703892,-7.30533935302426e-06,7.30674691715132e-06,0,5.58548027554432e-07,0.807245709101895,1.04505544551917e-06,5.58548732699415e-07,5.58555430116494e-07,9.89566037825369e-07,m0_LOO_SVD_projection,m0_LOO_SVD_projection,m0_LOO_best
